025CARTRIDGE,5.56 MILLIMETER1305-AA01Armor Piercing, M995, 200 RD belts w/M27 links, f/M249 SAW MG|A1305AA01
019SIGNAL,ILLUMINATION1370-LA25P/N MEI-200B; Night Vision Equipment Co. Inc.; Illumination Bandoleers are a refill for MEI-200 Pengun Flare Kit.|A1370LA25
029SIGNAL,SMOKE AND ILLUMINATION1370-LA26Marine, MK141 Mod 0 (Green)|A1370LA26
029SIGNAL,SMOKE AND ILLUMINATION1370-LA27Marine, MK144 Mod 0 (Yellow)|A1370LA27
029SIGNAL,SMOKE AND ILLUMINATION1370-LA28Marine, MK140 Mod 0 (Red)|A1370LA28
014FLARE,AIRCRAFT1370-LA29P/N TD101089-01; F/SUU-25 Flare Dispenser|A1370LA29
029FLARE,INFRARED,COUNTERMEASURE1370-LA30MJU-47/B; aircraft flare for missile defense|A1370LA30
029FLARE,INFRARED,COUNTERMEASURE1370-LA31MJU-48/B; aircraft flare for missile defense|A1370LA31
029FLARE,INFRARED,COUNTERMEASURE1370-LA32MJU-39/B; f/F-22 aircraft|A1370LA32
029FLARE,INFRARED,COUNTERMEASURE1370-LA33MJU-40/B; f/F-22 aircraft|A1370LA33
014FLARE,AIRCRAFT1370-LA34AMMO LA34 CANCELLED/REPLACED BY AMMO LA29 INC 20284, ON 071102 LUU-19A/B FLARE, AIRCRAFT, PARACHUTE; DWG/PART/REF: TD101089-01; CAGE 07703; Specific Packaging Required by Navy.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |C1370LA34
014FLARE,AIRCRAFT1370-LA35FLARE-DEVICE,DECOY MJU-55/B; DWG/PART/REF: 3677AS100; CAGE: 30003|A1370LA35
020FLARE,COUNTERMEASURE1370-LA36MJU-62/B; two color, IR countermeasure flare used on C-17 aircraft.|A1370LA36
013FLARE,SURFACE1370-LA37Demining, XM214, with Thiokol propulsion, for use by EOD.|A1370LA37
014FLARE,AIRCRAFT1370-LA38FLARE, DECOY MJU-57/B; DWG/PART/REF: 3682AS100; CAGE: 30003|A1370LA38
020FLARE,COUNTERMEASURE1370-LA39Infrared decoy to protect aircraft from advanced infrared guided missile threats.  Launched from AN/ALE-45 & -47 countermeasure dispensing systems.  P/N: 9826450  CAGE: 98747|A1370LA39
023FLARE,AIRCRAFT,PRACTICE1370-LA40SM-875B/ALE; DWG/PART/REF: 3773AS100; CAGE: 30003|A1370LA40
029DECOY,INFRARED,COUNTERMEASURE1370-LA41Inert version of MJU-52/B.|A1370LA41
014FLARE,AIRCRAFT1370-LA42FLARE, DECOY, MJU-61/B; DWG/PART/REF: 3763AS100; CAGE: 30003|A1370LA42
029DECOY,INFRARED,COUNTERMEASURE1370-LA43DECOY, INFRARED COUNTERMEASURE MJU-64/B; DWG/PART/REF: 3864AS100; CAGE: 30003|A1370LA43
019SIGNAL,ILLUMINATION1370-LA44CARTRIDGE, SIGNAL AND ILLUMINATING, WHITE STAR, GF 1.5; DWG/PART/REF: 7624873-4; CAGE: 53711.|A1370LA44
040SIMULATOR,PROJECTILE AIR BURST,EXPLOSIVE1370-LA45CARTRIDGE, SIMULATOR, AIRBURST, GF 1.5; USED WITH OMEGA 36/B2 FIRING DEVICE; DWG/PART/REF: 7624873-3; CAGE: 53711|A1370LA45
017SIMULATOR,GUNFIRE1370-LA46CARTRIDGE, SIMULATOR, HOSTILE FIRE GF 1.5; USED WITH OMEGA 36/B2 FIRING DEVICE. DWG/PART/REF: 7624873-1; CAGE: 53711|A1370LA46
054SIMULATOR,LAUNCHING,ANTITANK GUIDED MISSILE AND ROCKET1370-LA47CARTRIDGE, SIMULATOR, STINGER, LAUNCHING, ANTITANK GUIDED MISSILE AND ROCKET, USED WITH OMEGA 36/B2 FIRING DEVICE. DWG/PART/REF: 7624873-2; CAGE: 53711|A1370LA47
019SIGNAL,ILLUMINATION1370-LA48Multiple Illumination Signal package consisting of: Green Star Parachute, Red Star Cluster, White Star Cluster, Red Star Parachute, and White Star Parachute.|A1370LA48
014FLARE,AIRCRAFT1370-LA49MJU-32A/B|A1370LA49
014FLARE,AIRCRAFT1370-LA50MJU-38A/B|A1370LA50
025SIMULATOR,SMALL ARMS FIRE1370-LA51CARTRIDGE, 12GA., 3IN., WARNING (100 METERS) TYPE 1, MK290/0.|A1370LA51
025SIMULATOR,SMALL ARMS FIRE1370-LA52CARTRIDGE, 12GA., 3IN., WARNING (200 METERS) TYPE 11, MK291/0|A1370LA52
020SIMULATOR,TARGET HIT1370-LA53GF 1.5 Cartridge, White Star, XM35 Simulator|A1370LA53
030SIMULATOR,EXPLOSIVE DETONATION1370-LA54Simulator of large caliber gunfire and used for signaling purposes. Hostile Fire, XM34|A1370LA54
014FLARE,AIRCRAFT1370-LA55FLARE, DECOY MJU-57A/B; DWG/PART/REF: 3928AS100; CAGE: 30003|A1370LA55
030SIMULATOR,EXPLOSIVE DETONATION1370-LA56Modified M31A1.  This item has a "bang" and "star" effect for the M31 Field Artillery Trainer.|A1370LA56
014FLARE,AIRCRAFT1370-LA57PARACHUTE, LUU-19 B/B, NIR (NEAR INFRARED), POLYUREA COATED STYROFOAM PACKING.|A1370LA57
030SIMULATOR,EXPLOSIVE DETONATION1370-LA58Modified M30 pyrotechnic simulator.  This item will produce a flash, bang and white smoke.|A1370LA58
020FLARE,COUNTERMEASURE1370-LA59Infrared Flare, Aircraft Countermeasure, L-606i or XM216 with HEKO Squib|A1370LA59
029SIGNAL,SMOKE AND ILLUMINATION1370-LA60MARINE, MK 124 MOD 1|A1370LA60
014FLARE,AIRCRAFT1370-LA61FLARE, DECOY MJU-66/B; DWG/PART/REF: 3952AS100; CAGE: 30003|A1370LA61
015TARGET,INFRARED1370-LA62MK-1 MOD-0|A1370LA62
029DECOY,INFRARED,COUNTERMEASURE1370-LA63MJU-65/B|A1370LA63
014FLARE,AIRCRAFT1370-LA64Flare, Decoy MJU-63/B|A1370LA64
014FLARE,AIRCRAFT1370-LA65Flare-Device, Decoy MJU-55A/B; P/N: 3987AS100; CAGE: 30003|A1370LA65
029FLARE,INFRARED,COUNTERMEASURE1370-LA66Flare, Infrared, Countermeasure MJU-61A/B|A1370LA66
029FLARE,INFRARED,COUNTERMEASURE1370-LA67FLARE, INFRARED, COUNTERMEASURE:  P/N 800-024, INTERNALLY DISPENSED VIA THE ALE-40 SERIES OF DISPENSERS.|A1370LA67
029FLARE,INFRARED,COUNTERMEASURE1370-LA68MJU-68/B|A1370LA68
029FLARE,INFRARED,COUNTERMEASURE1370-LA69MJU-69/B|A1370LA69
017SIMULATOR,MISSILE1370-LA70SIMULATOR, MISSILE; PYROTECHNIC SCALABLE SIGNATURE DEVICE (PSSD); P/N: 13041215; CAGE: 19200; NSN: 6910-01-572-5305|A1370LA70
021SIMULATOR,TARGET KILL1370-LA71SIMULATOR, TARGET KILL; BLACK SMOKE, XM175; SIMULATES A TARGET KILL. P/N: 13039282; CAGE: 19200|A1370LA71
029SIGNAL,SMOKE AND ILLUMINATION1370-LA72CAGE 53711  P/N 7402280 Signal, Smoke and Illumination, Marine MK 146 Mod 0 (Green)|A1370LA72
029SIGNAL,SMOKE AND ILLUMINATION1370-LA73CAGE 53711  P/N 7402285 Signal, Smoke and Illumination, Marine MK 147 Mod 0 (Yellow)|A1370LA73
020FLARE,COUNTERMEASURE1370-LA74CAGE 30003  P/N SA4062AS160  Flare,Countermeasure,IR/Thrust Test Sample for MJU-68/B|A1370LA74
020FLARE,COUNTERMEASURE1370-LA75CAGE 30003  P/N SA4063AS180  Flare,Countermeasure,IR/Thrust Test Sample for MJU-69/B|A1370LA75
020FLARE,COUNTERMEASURE1370-LA76CAGE 07703 P/N SK114695  MJU-73/B  ATK-XS1100 Flare Assembly, IR Countermeasure|A1370LA76
054SIMULATOR,LAUNCHING,ANTITANK GUIDED MISSILE AND ROCKET1370-LA77CAGE 19200  P/N 13047007  DA G-4 to differentiate based on elimination of Potassium Percholorate for environmental reasons and elimation of Magnesium Powder|A1370LA77
029DECOY,INFRARED,COUNTERMEASURE1370-LA78CAGE 19200  P/N 13012345  Stacked Special Material (SM) foil elements, which are pyrophoric (react with air, seperated by four spacers with pyrophoric cutter elements into five pyrophpric payload bunbles (one loose and four strapped together)|A1370LA78
029DECOY,INFRARED,COUNTERMEASURE1370-LA79CAGE 30003  P/N 3953AS100  MHU-67/B|A1370LA79
019SIGNAL,ILLUMINATION1370-LA80CAGE 19200  P/N 13061285  contains potassium perchlorate free m126a1 signal|A1370LA80
029DECOY,INFRARED,COUNTERMEASURE1370-LA81CAGE 30003  P/N sa3953as110   Decoy,Infrared,Countermeasure,Flare,MHU-67/B|A1370LA81
014FLARE,AIRCRAFT1370-LA82Project XM216E5 P/N 09024-3991|A1370LA82
020FLARE,COUNTERMEASURE1370-LA83CAGE 30003  P/N SA3976AS180    FLARE, COUNTERMEASURE, IR TEST UNIT|A1370LA83
029DECOY,INFRARED,COUNTERMEASURE1370-LA84CAGE 3A367  P/N 1097   MJU-52A/B|A1370LA84
020FLARE,COUNTERMEASURE1370-LA85CAGE 98747  P/N 201719320  MJU-XX|A1370LA85
020FLARE,COUNTERMEASURE1370-LA86CAGE 30003  P/N SA3905AS280    MJU-32A/B,IR TEST UNIT|A1370LA86
020FLARE,COUNTERMEASURE1370-LA87CAGE 30003  P/N SA3904AS270       MJU-38A/B,IR TEST UNIT|A1370LA87
020FLARE,COUNTERMEASURE1370-LA88CAGE 98747  P/N 201825310  MJU-76/B|A1370LA88
020FLARE,COUNTERMEASURE1370-LA90CAGE 30003  P/N 4238AS100   MJU-77/B|A1370LA90
020FLARE,COUNTERMEASURE1370-LA91CAGE 30003 P/N SA4238AS120       MJU-77/B IR Test Unit|A1370LA91
020FLARE,COUNTERMEASURE1370-LA92CAGE 30003 P/N 4292AS100         Type Designator MJU-78/B|A1370LA92
020FLARE,COUNTERMEASURE1370-LA93CAGE 98747 P/N 201825350-10     Item is Flare, Infrared, Countermeasure but cancelled use this, MJU-76/B|A1370LA93
021CHAFF,COUNTERMEASURES1370-LA94CAGE 9K917 P/N 200307-02        CHAFF,ARM-220|A1370LA94
014FLARE,AIRCRAFT1370-LA95CAGE 19200 P/N 13102899         Countermeasure XM215|A1370LA95
038SIMULATOR,SMOKE EFFECTS,CHEMICAL AGENT1370-LA96CAGE 19200 P/N 13106744  SIMULATOR,SMOKE EFFECTS,CHEMICAL AGENT:YELLOW,XM189|A1370LA96
033SIMULATOR,PROJECTILE GROUND BURST1370-LA97CAGE 19200 P/N 13109307         XM183, Mini Blast|A1370LA97
021CHAFF,COUNTERMEASURES1370-LA98CAGE 19200 P/N 13103077         XM20|A1370LA98
021CHAFF,COUNTERMEASURES1370-LY07CAGE 19397  P/N 133024-0001    Updated to DoDAC|A1370LY07
030DECOY TARGET,AIRCRAFT,PRACTICE1370-LY43P/N 117262; SPACE ORDNANCE SYSTEMS DIVISION SMOKE FILLED|A1370LY43
030DECOY TARGET,AIRCRAFT,PRACTICE1370-LY44P/N 117122; SPACE ORDNANCE SYSTEMS DIVISION SMOKE FILLED|A1370LY44
039SIMULATOR,FLARE,INFRARED,COUNTERMEASURE1370-LY83AMMO LY83 CANCELLED/REPLACED BY AMMO L446 INC 47110, ON 080504 MJU-2(T-2)/B P/N 8634280-3;SPACE ORDNANCE SYSTEMS DIVISION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |C1370LY83
039SIMULATOR,FLARE,INFRARED,COUNTERMEASURE1370-LY84AMMO LY84 CANCELLED/REPLACED BY AMMO L447 INC 35206, ON 062200 MJU-7(T-2)/B F/ALE-40 DISPENSER                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |C1370LY84
039SIMULATOR,FLARE,INFRARED,COUNTERMEASURE1370-LY85AMMO LY85 CANCELLED/REPLACED BY AMMO L448 INC 47110, ON 080304 P/N 8634300-3;SPACE ORDNANCE SYSTEMS DIVISION F/M206(T-2)/B                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |C1370LY85
031BAND,SUSPENSION,PARACHUTE FLARE1370-L100MK5 and MK8, A/C Parachute Flares|A1370L100
031BAND,SUSPENSION,PARACHUTE FLARE1370-L101MK6, A/C Parachute Flare|A1370L101
031BAND,SUSPENSION,PARACHUTE FLARE1370-L103MK24, A/C Parachute Flare|A1370L103
031BAND,SUSPENSION,PARACHUTE FLARE1370-L105f/MK24 and MK45, A/C Parachute Flares|A1370L105
015DISPENSER,FLARE1370-L106XM19, f/Flare ACFT Parachute, MK45 Mod 0, w/Adapter|A1370L106
015DISPENSER,FLARE1370-L108SUU-40/A, f/ACFT Parachute Flare, Del Mar Industries DWG NO. 10768|A1370L108
015DISPENSER,FLARE1370-L109SUU-44/A, f/ACFT Parachute Flare, NAVAIR DWG NO. 67A312J2|A1370L109
015DISPENSER,FLARE1370-L111SUU-25F/A|A1370L111
029SIGNAL KIT,PERSONNEL DISTRESS1370-L116Red, M185 and A/P25S-1, w/Projector|A1370L116
029SIGNAL KIT,PERSONNEL DISTRESS1370-L117Green, Red and White, M186, w/Projector|A1370L117
029SIGNAL KIT,PERSONNEL DISTRESS1370-L118MK79 Mod 0, w/7 Signals, Red, MK80 Mod 0, w/Projector, MK31 Mod 0|A1370L118
029SIGNAL KIT,PERSONNEL DISTRESS1370-L119A/P25S-5 Series, w/7 Signals, Red, w/Projector, M207|A1370L119
015DISPENSER,FLARE1370-L122f/SUU-25B-A, w/Suspension Lugs|A1370L122
015DISPENSER,FLARE1370-L123SUU-25A/A|A1370L123
015DISPENSER,FLARE1370-L124f/SUU-25E/A|A1370L124
022FALSE TARGET,SUBMARINE1370-L125MK2 and Mods|A1370L125
022FALSE TARGET,SUBMARINE1370-L126MK2 Mod 0|A1370L126
015DISPENSER,FLARE1370-L127P/N 8020305-70; SUU-25F/A|A1370L127
012SIGNAL,SMOKE1370-L128Hand Fired, Green MK110 Mod 1|A1370L128
019SIGNAL,ILLUMINATION1370-L129Hand Fired, White, MK134 Mod 0|A1370L129
017PRIMER,PERCUSSION1370-L130Smoke, Puff|A1370L130
019SIGNAL,ILLUMINATION1370-L131Hand Fired, Vari-Color, MK135 Mod 0|A1370L131
029SIGNAL KIT,PERSONNEL DISTRESS1370-L132MK108 Mod 1, w/Signals, Green, MK110 Mod 1, w/Projector, MK31 Mod 0|A1370L132
029SIGNAL KIT,PERSONNEL DISTRESS1370-L133MK142 Mod 0, w/Signals, White, MK134 Mod 0, w/Projector, MK31 Mod 0|A1370L133
020CARTRIDGE,PHOTOFLASH1370-L135M112A1, 1 SEC Delay|A1370L135
020CARTRIDGE,PHOTOFLASH1370-L136M112A1, 2 SEC Delay|A1370L136
029CARTRIDGE,PHOTOFLASH,PRACTICE1370-L138M121|A1370L138
020CARTRIDGE,PHOTOFLASH1370-L139M123A1, 2 SEC Delay|A1370L139
020CARTRIDGE,PHOTOFLASH1370-L140M123A1, 4 SEC Delay|A1370L140
020CARTRIDGE,PHOTOFLASH1370-L141M123A1, 6 SEC Delay|A1370L141
029CARTRIDGE,PHOTOFLASH,PRACTICE1370-L142M124|A1370L142
020CARTRIDGE,PHOTOFLASH1370-L144M123A1, Inert|A1370L144
029CARTRIDGE,PHOTOFLASH,PRACTICE1370-L145M112A1|A1370L145
009BANDOLEER1370-L1547 Flares f/Personnel Distress Kit|A1370L154
012SIGNAL,SMOKE1370-L161MK131 Mod 0|A1370L161
012SIGNAL,SMOKE1370-L162Aircraft, Black, MK7 and Mods|A1370L162
012SIGNAL,SMOKE1370-L163Aircraft, Green, MK7 and Mods|A1370L163
012SIGNAL,SMOKE1370-L164Aircraft, Red, MK7 and Mods|A1370L164
012SIGNAL,SMOKE1370-L165Aircraft, Yellow, MK7 and Mods|A1370L165
022MARKER,LOCATION,MARINE1370-L168Mark 25 Mod 5, Aircraft or surface launch. Burning time 13.5 to 18.5 minutes. Yellow flame, white smoke. Packaged 8 to polystyrene container.|A1370L168
012SIGNAL,SMOKE1370-L169Aircraft, Green, MK89 Mod 0|A1370L169
019SIGNAL,ILLUMINATION1370-L170Ground, Red Star, MB Associates P/N 6000D7018-1|A1370L170
019SIGNAL,ILLUMINATION1370-L171Ground, Green Star, MB Associates P/N 6000D7018-3|A1370L171
019SIGNAL,ILLUMINATION1370-L172Ground, White Star, MB Associates PIN 6000D7018-5|A1370L172
019SIGNAL,ILLUMINATION1370-L178Aircraft, Red Star, Parachute M11|A1370L178
019SIGNAL,ILLUMINATION1370-L180Marine, Comet, MK1 Mod 0, Inert|A1370L180
015FUSEE,SIGNALING1370-L187Flickering Light|A1370L187
019SIGNAL,ILLUMINATION1370-L190Marine, Green, Comet, MK1 and Mods|A1370L190
019SIGNAL,ILLUMINATION1370-L191Marine, Red Comet, MK1 Mod 0|A1370L191
019SIGNAL,ILLUMINATION1370-L192Marine, Yellow Comet, MK1 Mod 0|A1370L192
019SIGNAL,ILLUMINATION1370-L193Marine, Red Star, MK1 and Mods|A1370L193
012SIGNAL,SMOKE1370-L201Marine, Red, MK2 and Mods|A1370L201
019SIGNAL,ILLUMINATION1370-L205Marine, Yellow, Submarine Emergency, MK41 Mod 0|A1370L205
019SIGNAL,ILLUMINATION1370-L206MARINE, Green, Submarine Emergency, MK45 Mod 0|A1370L206
019SIGNAL,ILLUMINATION1370-L207Marine, Red, Submarine Emergency, MK46 Mod 0|A1370L207
012SIGNAL,SMOKE1370-L210Marine, Black, Submarine Float, MK24 and Mods|A1370L210
012SIGNAL,SMOKE1370-L211Marine, Green, Submarine Float, MK23 Mod 0|A1370L211
012SIGNAL,SMOKE1370-L212Marine, Yellow, Submarine Float, MK22 Mod 0|A1370L212
012SIGNAL,SMOKE1370-L213Marine, Red, Submarine Float, MK21 Mod 0|A1370L213
019SIGNAL,ILLUMINATION1370-L225Aircraft, Red-Red, AN-M37 Series|A1370L225
019SIGNAL,ILLUMINATION1370-L226Aircraft, Yellow,Yellow, AN-M38 Series|A1370L226
019SIGNAL,ILLUMINATION1370-L227Aircraft, Green-Green, AN-M39 Series|A1370L227
019SIGNAL,ILLUMINATION1370-L228Aircraft, Red-Yellow, AN-M40 Series |A1370L228
019SIGNAL,ILLUMINATION1370-L229Aircraft, Red-Green, an-m41 Series |A1370L229
019SIGNAL,ILLUMINATION1370-L230Aircraft, Green-Yellow, AN-M42 Series|A1370L230
019SIGNAL,ILLUMINATION1370-L231Aircraft, Red, an-m43 series|A1370L231
019SIGNAL,ILLUMINATION1370-L232Aircraft, Yellow, AN-M44 Series|A1370L232
019SIGNAL,ILLUMINATION1370-L233Aircraft, Green, AN-M45 Series|A1370L233
019SIGNAL,ILLUMINATION1370-L234Aircraft, Red-Yellow, Yellow Tracer, AN-M53 Series|A1370L234
019SIGNAL,ILLUMINATION1370-L235Aircraft, Red-Red, Green Tracer, AN-M54 Series|A1370L235
019SIGNAL,ILLUMINATION1370-L236Aircraft, Green-Red, Green Tracer, AN-M55 Series|A1370L236
019SIGNAL,ILLUMINATION1370-L237Aircraft, G2REEN-Green, Red Tracer, AN-M56 Series|A1370L237
019SIGNAL,ILLUMINATION1370-L238Aircraft, Red-Red, Red Tracer, AN-M57 Series|A1370L238
019SIGNAL,ILLUMINATION1370-L239Aircraft, Green-Red, Red Tracer, AN-M58 Series|A1370L239
019SIGNAL,ILLUMINATION1370-L258Aircraft, Red Star, MK80 Mod 0|A1370L258
029SIGNAL,SMOKE AND ILLUMINATION1370-L259Marine, MK120 Mod 0, Green|A1370L259
029SIGNAL,SMOKE AND ILLUMINATION1370-L260Marine, MK121 Mod 0, Yellow|A1370L260
029SIGNAL,SMOKE AND ILLUMINATION1370-L262Marine, MK116 Mod 1, Green|A1370L262
029SIGNAL,SMOKE AND ILLUMINATION1370-L263Marine, MK115 Mod 1, Yellow|A1370L263
029SIGNAL,SMOKE AND ILLUMINATION1370-L264Marine, MK115 Mod 0, Yellow|A1370L264
029SIGNAL,SMOKE AND ILLUMINATION1370-L265Marine, MK116 Mod 0, Green|A1370L265
029SIGNAL,SMOKE AND ILLUMINATION1370-L266Marine, MK66 Mod 0, Red|A1370L266
029SIGNAL,SMOKE AND ILLUMINATION1370-L267Marine, MK67 Mod 0, Green|A1370L267
029SIGNAL,SMOKE AND ILLUMINATION1370-L268Marine, MK68 Mod 0, Yellow|A1370L268
029SIGNAL,SMOKE AND ILLUMINATION1370-L269Marine, MK117 Mod 0, Green, Low Altitude|A1370L269
029SIGNAL,SMOKE AND ILLUMINATION1370-L271Marine, MK118 Mod 0, Yellow, Low Altitude|A1370L271
029SIGNAL,SMOKE AND ILLUMINATION1370-L272Marine, MK99 Mod 0, Yellow, Magnetic|A1370L272
029SIGNAL,SMOKE AND ILLUMINATION1370-L273Marine, MK99 Mods 1, 2, and 3, Yellow, Nonmagnetic|A1370L273
029SIGNAL,SMOKE AND ILLUMINATION1370-L275Marine, MK13 Mod 0, Distress, Day and Night|A1370L275
019SIGNAL,ILLUMINATION1370-L276Marine, Red, 2 Star, Distress, AN-M75|A1370L276
019SIGNAL,ILLUMINATION1370-L277Ground, Red Star, Distress, Parachute, M131 (T66E1)|A1370L277
019SIGNAL,ILLUMINATION1370-L278Ground, Red Star, M187|A1370L278
019SIGNAL,ILLUMINATION1370-L279Ground, White Star, M188|A1370L279
019SIGNAL,ILLUMINATION1370-L280Ground, Green Star, M189|A1370L280
029SIGNAL,SMOKE AND ILLUMINATION1370-L283Marine, MK124 Mod 0, Distress Day and Night|A1370L283
029SIGNAL,SMOKE AND ILLUMINATION1370-L284Marine, MK125 Mod 0, White|A1370L284
012SIGNAL,SMOKE1370-L285Marine, Orange, Distress, Floating, Merchant Ships|A1370L285
029SIGNAL,SMOKE AND ILLUMINATION1370-L292Aircraft, MK5 and Mods, Drift, Day and Night|A1370L292
012SIGNAL,SMOKE1370-L301Ground-Marine, Red, f/LUU-10-B|A1370L301
019SIGNAL,ILLUMINATION1370-L302Ground, White Flare, f/LAU LX11|A1370L302
019SIGNAL,ILLUMINATION1370-L303Ground, Yellow Flare, f/LAU LX11|A1370L303
019SIGNAL,ILLUMINATION1370-L304Ground, Green Flare, f/LAU LX11|A1370L304
019SIGNAL,ILLUMINATION1370-L305Ground, Green Star, Parachute, XM195|A1370L305
019SIGNAL,ILLUMINATION1370-L306Ground, Red Star Cluster, M158 (T133E2)|A1370L306
019SIGNAL,ILLUMINATION1370-L307Ground, White Star cluster, M159 (T137E2)|A1370L307
019SIGNAL,ILLUMINATION1370-L309Ground, Amber Star, Parachute, M21A1|A1370L309
019SIGNAL,ILLUMINATION1370-L310Ground, Green Star, Parachute, M19A1, M128|A1370L310
019SIGNAL,ILLUMINATION1370-L311Ground, Red Star, Parachute, M126|A1370L311
019SIGNAL,ILLUMINATION1370-L312Ground, White Star, Parachute, M127|A1370L312
019SIGNAL,ILLUMINATION1370-L313Ground, Amber Star Cluster, M22 Series|A1370L313
019SIGNAL,ILLUMINATION1370-L314Ground, Green Star Cluster, M125|A1370L314
019SIGNAL,ILLUMINATION1370-L315Ground, Red Star Cluster, M52 Series|A1370L315
019SIGNAL,ILLUMINATION1370-L316Ground, White Star Cluster, M18 Series|A1370L316
012SIGNAL,SMOKE1370-L318Ground, Green, M65 (T41E1)|A1370L318
012SIGNAL,SMOKE1370-L320Ground, Red, M62 (T38E1)|A1370L320
012SIGNAL,SMOKE1370-L322Ground, Yellow, M64 (T40E1)|A1370L322
012SIGNAL,SMOKE1370-L323Ground, Red M129 Series, Parachute|A1370L323
012SIGNAL,SMOKE1370-L324Ground, Green, M128, Parachute|A1370L324
019SIGNAL,ILLUMINATION1370-L325Ground, Green Star Cluster, M20 Series|A1370L325
019SIGNAL,ILLUMINATION1370-L326Ground, Red Star, Parachute, M51A1 |A1370L326
019SIGNAL,ILLUMINATION1370-L327Ground, White Star, parachute, M17A1|A1370L327
019SIGNAL,ILLUMINATION1370-L328Ground, Red Flare, f/LAU LX11|A1370L328
019SIGNAL,ILLUMINATION1370-L331Ground, Red, MK121 Mod 0|A1370L331
019SIGNAL,ILLUMINATION1370-L332Ground, green, MK122 Mod 0|A1370L332
019SIGNAL,ILLUMINATION1370-L333Ground, Yellow, MK123 Mod 0|A1370L333
019SIGNAL,ILLUMINATION1370-L334Ground, Red, MK130 Mod 0|A1370L334
019SIGNAL,ILLUMINATION1370-L337Ground, Green-Red, MK140 Mod 0|A1370L337
012SIGNAL,SMOKE1370-L338Ground, White, f/LAU LX11|A1370L338
012SIGNAL,SMOKE1370-L340Ground, White, XM166|A1370L340
012SIGNAL,SMOKE1370-L341Ground, Green, XM167|A1370L341
012SIGNAL,SMOKE1370-L342Ground, Red, XM168|A1370L342
012SIGNAL,SMOKE1370-L343Ground, Yellow, XM169|A1370L343
012SIGNAL,SMOKE1370-L344Ground, Red, f/LAU LX11|A1370L344
012SIGNAL,SMOKE1370-L345Ground, Yellow, f/LAU LX11|A1370L345
012SIGNAL,SMOKE1370-L346Ground, Green, f/LAU LX11|A1370L346
040SIMULATOR,PROJECTILE AIR BURST,EXPLOSIVE1370-L350High Burst Ranging, M27|A1370L350
040SIMULATOR,PROJECTILE AIR BURST,EXPLOSIVE1370-L351M27A1B1|A1370L351
040SIMULATOR,PROJECTILE AIR BURST,EXPLOSIVE1370-L352Projectile Air Burst, Smoke PJU-7A/E, Simulates Anti-AFCT Burst for Live Air Crew Training|A1370L352
040SIMULATOR,PROJECTILE AIR BURST,EXPLOSIVE1370-L366Flash and Sound, M74, M74A1|A1370L366
054SIMULATOR,LAUNCHING,ANTITANK GUIDED MISSILE AND ROCKET1370-L367M22 Series|A1370L367
040SIMULATOR,PROJECTILE AIR BURST,EXPLOSIVE1370-L373Charge, Smoke Puff, White|A1370L373
040SIMULATOR,PROJECTILE AIR BURST,EXPLOSIVE1370-L374f/AAA-UCS Anti-ACFT|A1370L374
030SIMULATOR,EXPLOSIVE DETONATION1370-L377MK2 Mod 0|A1370L377
030SIMULATOR,EXPLOSIVE DETONATION1370-L378MK1 Mod 0 and M80|A1370L378
014FLARE,AIRCRAFT1370-L382Parachute, SA8, 300,000 CP, Gravity Operated|A1370L382
014FLARE,AIRCRAFT1370-L385Parachute, MK5 Mods 3, 4, 5, 6, 7, 8, and 9|A1370L385
014FLARE,AIRCRAFT1370-L388Parachute, M8A1, w/o Suspension Bands, Emergency Night Landing|A1370L388
014FLARE,AIRCRAFT1370-L389Parachute, M9A1|A1370L389
014FLARE,AIRCRAFT1370-L393Parachute, AN-M26 Series, Blue Band|A1370L393
014FLARE,AIRCRAFT1370-L407Parachute, MK24 and Mods, w/o Suspension Bands|A1370L407
023FLARE,AIRCRAFT,PRACTICE1370-L409Parachute, MK24 and Mods|A1370L409
014FLARE,AIRCRAFT1370-L410Countermeasure, Heat XM206|A1370L410
014FLARE,AIRCRAFT1370-L411Parachute, LUU-2B and LUU-2A/B|A1370L411
013FLARE,SURFACE1370-L414Parachute, XM184|A1370L414
014FLARE,AIRCRAFT1370-L416Parachute, MK45 Mod 0, w/Drogue Tray|A1370L416
014FLARE,AIRCRAFT1370-L418Parachute, MK45 Mod 0, (Inert) w/Drogue Tray|A1370L418
014FLARE,AIRCRAFT1370-L419Parachute, MK24 Mod 4, w/o Drogue Trays, w/Cable Modification, USAF DWG NO. 68C33017|A1370L419
